Scientific Names,EngName,Sites (10 chestnuts in total)
Hirundo rustica,Barn Swallow,3
Phoenicurus ochruros,Black Redstart,5
Dryocopus martius,Black Woodpecker,6
Aegolius funereus,Boreal Owl,1
Emberiza cirlus,Cirl Bunting,1
Periparus ater,Coal Tit,10
Buteo buteo,Common Buzzard,9
Fringilla coelebs,Common Chaffinch,10
Phylloscopus collybita,Common Chiffchaff,8
Cuculus canorus,Common Cuckoo,9
Regulus ignicapilla,Common Firecrest,5
Delichon urbicum,Common House-Martin,4
Corvus corax,Common Raven,7
Phoenicurus phoenicurus,Common Redstart,7
Apus apus,Common Swift,5
Columba palumbus,Common Wood-Pigeon,6
Lophophanes cristatus,Crested Tit,4
Prunella modularis,Dunnock,4
Turdus merula,Eurasian Blackbird,10
Sylvia atricapilla,Eurasian Blackcap,10
Cyanistes caeruleus,Eurasian Blue Tit,10
Pyrrhula pyrrhula,Eurasian Bullfinch,1
Bubo bubo,Eurasian Eagle-Owl,1
Oriolus oriolus,Eurasian Golden Oriole,5
Picus viridis,Eurasian Green Woodpecker,10
Upupa epops,Eurasian Hoopoe,2
Garrulus glandarius,Eurasian Jay,10
Falco tinnunculus,Eurasian Kestrel,5
Caprimulgus europaeus,Eurasian Nightjar,3
Sitta europaea,Eurasian Nuthatch,10
Otus scops,Eurasian Scops-Owl,1
Spinus spinus,Eurasian Siskin,4
Passer montanus,Eurasian Tree Sparrow,1
Certhia familiaris,Eurasian Treecreeper,3
Troglodytes troglodytes,Eurasian Wren,7
Jynx torquilla,Eurasian Wryneck,3
Carduelis carduelis,European Goldfinch,4
Chloris chloris,European Greenfinch,2
Pernis apivorus,European Honey-buzzard,2
Ficedula hypoleuca,European Pied Flycatcher,7
Erithacus rubecula,European Robin,9
Serinus serinus,European Serin,5
Sturnus vulgaris,European Starling,3
Turdus pilaris,Fieldfare,1
Regulus regulus,Goldcrest,2
Picus canus,Gray-headed Woodpecker,3
Ardea cinerea,Gray Heron,3
Motacilla cinerea,Gray Wagtail,5
Dendrocopos major,Great Spotted Woodpecker,10
Parus major,Great Tit,10
Curruca communis,Hawfinch,8
Coccothraustes coccothraustes,Hooded Crow,6
Dryobates minor,Lesser Spotted Woodpecker,1
Athene noctua,Little Owl,5
Asio otus,Long-eared Owl,1
Aegithalos caudatus,Long-tailed Tit,10
Poecile palustris,Marsh Tit,10
Turdus viscivorus,Mistle Thrush,5
Accipiter gentilis,Northern Goshawk,1
Lanius collurio,Red-backed Shrike,1
Milvus milvus,Red Kite,1
Emberiza cia,Rock Bunting,4
Certhia brachydactyla,Short-toed Treecreeper,9
Turdus philomelos,Song Thrush,9
Muscicapa striata,Spotted Flycatcher,10
Strix aluco,Tawny Owl,10
Phylloscopus bonelli,Western Bonelli's Warbler,7
Motacilla alba,White Wagtail,2
Poecile montanus,Willow Tit,1
Phylloscopus sibilatrix,Wood Warbler,4
