,Species,numRecordings
0,"['Hirundo', 'rustica']",1865
1,"['Phoenicurus', 'ochruros']",1580
2,"['Dryocopus', 'martius']",1761
3,"['Aegolius', 'funereus']",764
4,"['Emberiza', 'cirlus']",980
5,"['Periparus', 'ater']",2963
6,"['Buteo', 'buteo']",1084
7,"['Fringilla', 'coelebs']",7433
8,"['Phylloscopus', 'collybita']",7423
9,"['Cuculus', 'canorus']",2173
10,"['Regulus', 'ignicapilla']",1489
11,"['Delichon', 'urbicum']",771
12,"['Corvus', 'corax']",2388
13,"['Phoenicurus', 'phoenicurus']",1686
14,"['Apus', 'apus']",852
15,"['Columba', 'palumbus']",955
16,"['Lophophanes', 'cristatus']",1062
17,"['Prunella', 'modularis']",2822
18,"['Turdus', 'merula']",7700
19,"['Sylvia', 'atricapilla']",5398
20,"['Cyanistes', 'caeruleus']",4726
21,"['Pyrrhula', 'pyrrhula']",1647
22,"['Bubo', 'bubo']",879
23,"['Oriolus', 'oriolus']",1423
24,"['Picus', 'viridis']",1177
25,"['Upupa', 'epops']",708
26,"['Garrulus', 'glandarius']",2153
27,"['Falco', 'tinnunculus']",673
28,"['Caprimulgus', 'europaeus']",1455
29,"['Sitta', 'europaea']",2184
30,"['Otus', 'scops']",734
31,"['Spinus', 'spinus']",1480
32,"['Passer', 'montanus']",2657
33,"['Certhia', 'familiaris']",1391
34,"['Troglodytes', 'troglodytes']",4780
35,"['Jynx', 'torquilla']",681
36,"['Carduelis', 'carduelis']",2277
37,"['Chloris', 'chloris']",2332
38,"['Pernis', 'apivorus']",170
39,"['Ficedula', 'hypoleuca']",1485
40,"['Erithacus', 'rubecula']",6525
41,"['Serinus', 'serinus']",1458
42,"['Sturnus', 'vulgaris']",1956
43,"['Turdus', 'pilaris']",1590
44,"['Regulus', 'regulus']",2039
45,"['Picus', 'canus']",765
46,"['Ardea', 'cinerea']",1807
47,"['Motacilla', 'cinerea']",976
48,"['Dendrocopos', 'major']",2838
49,"['Parus', 'major']",8323
50,"['Curruca', 'communis']",4153
51,"['Coccothraustes', 'coccothraustes']",1573
52,"['Dryobates', 'minor']",986
53,"['Athene', 'noctua']",1541
54,"['Asio', 'otus']",1463
55,"['Aegithalos', 'caudatus']",1906
56,"['Poecile', 'palustris']",1621
57,"['Turdus', 'viscivorus']",1387
58,"['Accipiter', 'gentilis']",733
59,"['Lanius', 'collurio']",767
60,"['Milvus', 'milvus']",209
61,"['Emberiza', 'cia']",420
62,"['Certhia', 'brachydactyla']",1409
63,"['Turdus', 'philomelos']",5627
64,"['Muscicapa', 'striata']",1664
65,"['Strix', 'aluco']",3408
66,"['Phylloscopus', 'bonelli']",720
67,"['Motacilla', 'alba']",1750
68,"['Poecile', 'montanus']",1326
69,"['Phylloscopus', 'sibilatrix']",1308
