YTID,start_seconds,end_seconds,positive_labels,labels
-EFS2mihxs0, 240.000, 250.000," ""/m/02rhddq,/m/07yv9,/t/dd00129""","['""/m/02rhddq', '/m/07yv9', '/t/dd00129']"
-GREE8GdRrc, 30.000, 40.000," ""/m/02z32qm,/t/dd00129""","['""/m/02z32qm', '/t/dd00129']"
-MfaG0whPJc, 130.000, 140.000," ""/m/07qv4k0,/t/dd00129""","['""/m/07qv4k0', '/t/dd00129']"
-pjK2u3Qtxc, 230.000, 240.000," ""/m/028v0c,/m/09x0r,/t/dd00129""","['""/m/028v0c', '/m/09x0r', '/t/dd00129']"
0HVlzmjFe7k, 20.000, 30.000," ""/m/04cvmfc,/m/0cdnk,/t/dd00129""","['""/m/04cvmfc', '/m/0cdnk', '/t/dd00129']"
0MJPqGKIbZg, 20.000, 30.000," ""/m/07qfr4h,/m/09x0r,/t/dd00129""","['""/m/07qfr4h', '/m/09x0r', '/t/dd00129']"
0mkgZLfBqsg, 30.000, 40.000," ""/m/04cvmfc,/m/04rlf,/m/0jbk,/t/dd00129""","['""/m/04cvmfc', '/m/04rlf', '/m/0jbk', '/t/dd00129']"
0pgG7Rk_eqM, 140.000, 150.000," ""/m/01j4z9,/t/dd00129""","['""/m/01j4z9', '/t/dd00129']"
0pxApm5Y6eM, 140.000, 150.000," ""/m/03p19w,/m/09x0r,/t/dd00129""","['""/m/03p19w', '/m/09x0r', '/t/dd00129']"
1JEa_q6nHOE, 90.000, 100.000," ""/m/0cj0r,/t/dd00129""","['""/m/0cj0r', '/t/dd00129']"
1TpuuM-CRfE, 100.000, 110.000," ""/g/122z_qxw,/m/09x0r,/t/dd00129""","['""/g/122z_qxw', '/m/09x0r', '/t/dd00129']"
1WwhvBedzOg, 220.000, 230.000," ""/m/07p6mqd,/m/09x0r,/t/dd00129""","['""/m/07p6mqd', '/m/09x0r', '/t/dd00129']"
1_PQvsAw110, 70.000, 80.000," ""/m/07phhsh,/m/07yv9,/t/dd00129""","['""/m/07phhsh', '/m/07yv9', '/t/dd00129']"
1hizec7Ei2Y, 10.000, 20.000," ""/m/01jg1z,/m/09x0r,/t/dd00129""","['""/m/01jg1z', '/m/09x0r', '/t/dd00129']"
1jokDJHu4_s, 40.000, 50.000," ""/m/07pb8fc,/m/07yv9,/t/dd00129""","['""/m/07pb8fc', '/m/07yv9', '/t/dd00129']"
1jyBARHxmlc, 160.000, 170.000," ""/m/03k3r,/m/04rlf,/m/09x0r,/m/0jbk,/t/dd00129""","['""/m/03k3r', '/m/04rlf', '/m/09x0r', '/m/0jbk', '/t/dd00129']"
2-1wY_Ndtgw, 10.000, 20.000," ""/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00129,/t/dd00130""","['""/m/07yv9', '/m/09x0r', '/m/0k4j', '/t/dd00129', '/t/dd00130']"
20CeP51xlBs, 10.000, 20.000," ""/m/07rrh0c,/t/dd00129""","['""/m/07rrh0c', '/t/dd00129']"
2TsRyytlQww, 70.000, 80.000," ""/m/04rlf,/m/07qs1cx,/t/dd00129""","['""/m/04rlf', '/m/07qs1cx', '/t/dd00129']"
2gkoNwdaBm8, 370.000, 380.000," ""/m/02fxyj,/t/dd00129""","['""/m/02fxyj', '/t/dd00129']"
2lBZ6yPW9WU, 360.000, 370.000," ""/m/02bxd,/m/04rlf,/t/dd00129""","['""/m/02bxd', '/m/04rlf', '/t/dd00129']"
3GI2lANcVEY, 290.000, 300.000," ""/m/07p6mqd,/m/09x0r,/t/dd00129""","['""/m/07p6mqd', '/m/09x0r', '/t/dd00129']"
3S9-pp9ijJU, 20.000, 30.000," ""/m/07p6mqd,/m/09x0r,/m/0jbk,/t/dd00129""","['""/m/07p6mqd', '/m/09x0r', '/m/0jbk', '/t/dd00129']"
3s5FHwyhF-w, 70.000, 80.000," ""/m/03k3r,/m/09x0r,/m/0ch8v,/m/0jbk,/t/dd00129""","['""/m/03k3r', '/m/09x0r', '/m/0ch8v', '/m/0jbk', '/t/dd00129']"
4kPu2QmfKaQ, 580.000, 590.000," ""/m/07qfr4h,/m/09x0r,/t/dd00129""","['""/m/07qfr4h', '/m/09x0r', '/t/dd00129']"
4uVeFs-4i1w, 160.000, 170.000," ""/m/07qv_d5,/m/07r04,/m/07yv9,/t/dd00129""","['""/m/07qv_d5', '/m/07r04', '/m/07yv9', '/t/dd00129']"
