YTID,start_seconds,end_seconds,positive_labels
--8Bq81udbw,14.0,24.0,/t/dd00129
--BFPeFaj2o,0.0,10.0,"/m/01g50p,/m/06d_3,/m/07jdr,/m/07yv9,/t/dd00129"
--NVTlZnl00,30.0,40.0,"/m/07yv9,/t/dd00129"
-08bBkZ4vMk,40.0,50.0,"/m/04_sv,/m/07yv9,/t/dd00129"
-0d6GOvAoS0,0.0,10.0,"/m/02mk9,/m/07yv9,/m/0k4j,/t/dd00129"
-1TcdZyNUEE,10.0,20.0,"/m/03fwl,/m/04zjc,/m/0jbk,/t/dd00129"
-1X2N5XJckw,0.0,10.0,"/m/07yv9,/m/0912c9,/t/dd00129"
-2DWU7iPCDQ,30.0,40.0,"/m/07yv9,/t/dd00129"
-2SuUpB6G1Q,70.0,80.0,/t/dd00129
-2ah-O3oivo,0.0,10.0,"/m/04_sv,/m/07yv9,/t/dd00129"
-2kt5gv42qI,150.0,160.0,"/m/02g901,/t/dd00129"
-2rFA4BrQpc,240.0,250.0,/t/dd00129
-37B7tIjJSA,310.0,320.0,"/m/04rlf,/t/dd00129"
-57HFVMR3ro,70.0,80.0,/t/dd00129
-5AvqqR_8Vg,40.0,50.0,/t/dd00129
-5aK9B4frhM,450.0,460.0,/t/dd00129
-5eYjtWSw_Q,140.0,150.0,"/m/07yv9,/t/dd00129"
-5i5kh7sSSU,90.0,100.0,/t/dd00129
-5q6IOaiUQc,14.0,24.0,"/m/0_1c,/t/dd00129"
-60hVz_H3Ck,30.0,40.0,/t/dd00129
-65aTiioa3w,130.0,140.0,"/m/07yv9,/m/0k4j,/m/0ltv,/t/dd00129"
-6X0rOC32AA,0.0,10.0,"/m/04rlf,/t/dd00129"
-7jmt3l1Pqs,90.0,100.0,/t/dd00129
-8LEZBET-78,30.0,40.0,"/m/04rlf,/m/07xzm,/t/dd00129"
-8OeZ3F50oo,70.0,80.0,"/m/07yv9,/t/dd00129"
-8WbtdYDwFI,30.0,40.0,"/m/06h7j,/t/dd00129"
-8txCyLaV5w,10.0,20.0,"/m/04rlf,/t/dd00129"
-8wQFPz_k-k,40.0,50.0,"/m/04rlf,/t/dd00129"
-8yk2fIBcQg,180.0,190.0,/t/dd00129
-9-dpbRkJco,150.0,160.0,"/m/01g50p,/m/06d_3,/m/07jdr,/m/07yv9,/t/dd00129"
-9XEtwy8Zik,0.0,10.0,"/m/04rlf,/t/dd00129"
-Asxv7Yv2mo,50.0,60.0,"/m/019jd,/m/056ks2,/m/07yv9,/t/dd00129"
-AyFgTm3bIU,0.0,10.0,"/m/07yv9,/t/dd00129"
-AzTLYQBTdQ,30.0,40.0,"/m/0jbk,/t/dd00129"
-B-QpcljcPs,210.0,220.0,/t/dd00129
-B14RS1HN7A,30.0,40.0,"/m/0jbk,/t/dd00129"
-BIuMd0jCjU,10.0,20.0,"/m/07yv9,/m/09ct_,/m/0k5j,/t/dd00129"
-BVtAItdWa0,70.0,80.0,"/m/028v0c,/t/dd00129"
-BtfMa0uVZo,60.0,70.0,"/m/07yv9,/t/dd00129"
-CciRmdCIYs,28.0,38.0,"/m/01g50p,/m/07jdr,/m/07yv9,/t/dd00129"
-Cd1Wn7ThT4,30.0,40.0,"/m/019jd,/t/dd00129"
-D2bTFqszS8,250.0,260.0,"/m/07yv9,/t/dd00129"
-D6BAuH5zmk,0.0,10.0,/t/dd00129
-DBoU77GlNk,450.0,460.0,"/m/04rlf,/t/dd00129"
-DdzDENon4E,230.0,240.0,"/m/04rlf,/t/dd00129"
-DfS3pZTBcQ,110.0,120.0,"/m/04_sv,/m/07yv9,/t/dd00129"
-DiNxxZ_H5w,30.0,40.0,/t/dd00129
-DlMeIHejZk,190.0,200.0,"/m/028v0c,/t/dd00129"
-DxXSdvZXtg,10.0,20.0,"/m/04rlf,/t/dd00128,/t/dd00129"
-E9l9sgb328,70.0,80.0,"/m/07yv9,/t/dd00129"
-EGyFGi36Xw,270.0,280.0,/t/dd00129
-ElqHBdkjdc,20.0,30.0,/t/dd00129
-G-52F7s4jQ,90.0,100.0,"/m/04rlf,/t/dd00129"
-G0mYaQJhig,360.0,370.0,"/m/01g50p,/m/06d_3,/m/07jdr,/m/07yv9,/t/dd00129"
-GDFGAiNTP8,30.0,40.0,/t/dd00129
-GF_pBcHi5I,440.0,450.0,"/m/01g50p,/m/06d_3,/m/07jdr,/m/07yv9,/t/dd00129"
-Gf_pw0m5FE,290.0,300.0,"/m/04rlf,/t/dd00129"
-Hn8-tlyeQY,20.0,30.0,/t/dd00129
-IPAeRk6Vho,580.0,590.0,"/m/04rlf,/m/07yv9,/m/0k4j,/t/dd00129"
-IbAgvryiVQ,21.0,31.0,"/m/0jbk,/t/dd00129"
-J5PZVvxkVU,280.0,290.0,/t/dd00129
-J5tTKwTjNs,490.0,500.0,"/m/03q5t,/m/04rlf,/t/dd00129"
-J6zdj9wzAU,120.0,130.0,"/m/01280g,/m/04rlf,/m/0cdnk,/m/0jbk,/t/dd00129"
-JPx8fg2cSE,20.0,30.0,"/m/078jl,/m/0jbk,/t/dd00129"
-JVf8tVGhi0,120.0,130.0,"/m/07yv9,/m/0k4j,/t/dd00129"
-K1dmVH7_z4,80.0,90.0,"/m/07yv9,/t/dd00129"
-K3etBxuwIo,30.0,40.0,/t/dd00129
-KPM2a1nn7k,20.0,30.0,/t/dd00129
-KaUnfOyyl4,320.0,330.0,"/m/07r04,/m/07yv9,/t/dd00067,/t/dd00129"
-KtZTdrrW60,0.0,10.0,"/m/07yv9,/t/dd00129"
-KysqOsHvzk,570.0,580.0,"/m/04rlf,/t/dd00129"
-LB8zfFRTY8,30.0,40.0,"/m/0jbk,/t/dd00129"
-LD6l97NEF4,50.0,60.0,/t/dd00129
-M1xD0l1HGI,10.0,20.0,"/m/07yv9,/m/0k4j,/t/dd00129"
-M2-Yr7iaKI,1.0,11.0,"/m/014zdl,/m/07yv9,/t/dd00129"
-MVzmw7ktUY,10.0,20.0,"/m/04rlf,/t/dd00129"
-MXtPvpi2Ns,10.0,20.0,"/m/04rlf,/t/dd00129"
-MuRp8i94CQ,350.0,360.0,"/m/07yv9,/m/09ct_,/t/dd00129"
-Nh8B2B_lPU,250.0,260.0,"/m/0k4j,/m/0ltv,/t/dd00129"
-ODB5Yi5M7Y,210.0,220.0,"/m/04rlf,/t/dd00129"
-OGQfflhWb8,350.0,360.0,"/m/04rlf,/t/dd00126,/t/dd00129"
-OTh105DhA0,140.0,150.0,"/m/019jd,/m/07yv9,/t/dd00129"
-OfMRu_Uxbs,150.0,160.0,"/m/0jbk,/t/dd00129"
-P2a13jtmMw,150.0,160.0,"/m/07yv9,/t/dd00129"
-PiosLMNwDc,70.0,80.0,"/m/01j4z9,/t/dd00129"
-PqUuE9L1Io,70.0,80.0,"/m/07yv9,/t/dd00129"
-Q8Gf3NsoRw,40.0,50.0,"/m/04rlf,/t/dd00129"
-QVjd5AmlTE,240.0,250.0,/t/dd00129
-QrE0PY0uyw,540.0,550.0,"/m/04rlf,/t/dd00129"
-R8tkUxq5bA,60.0,70.0,"/m/04rlf,/t/dd00129"
